observer,scene,condition_1,condition_2,selection
observer7,RocketLeague,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer7,NightStreet,M_3840x2160_bright_near,L_1280x720_bright_near,1
observer7,TrafficLight,H_3840x2160_bright_near,L_1280x720_bright_near,1
observer7,SmithHammering,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer7,SmithHammering,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer7,RocketLeague,L_1280x720_bright_near,L_3840x2160_bright_near,0
observer7,PUBG_p2,H_1920x1080_bright_near,L_3840x2160_bright_near,1
observer7,SmithHammering,H_1280x720_bright_near,M_1280x720_bright_near,1
observer7,Showgirl01,H_1920x1080_bright_near,L_1280x720_bright_near,1
observer7,SolLevante_p2,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer7,SolLevante_p2,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,SolLevante_p1,M_1920x1080_bright_near,M_3840x2160_bright_near,0
observer7,RushPixar,L_3840x2160_bright_near,M_3840x2160_bright_near,0
observer7,PorscheCloseUp,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer7,PUBG_p2,H_1280x720_bright_near,L_1920x1080_bright_near,1
observer7,SolLevante_p2,L_1280x720_bright_near,L_3840x2160_bright_near,0
observer7,GearsOfWar4,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer7,Bonfire,L_1280x720_bright_near,H_1280x720_bright_near,0
observer7,RushPixar,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer7,TrafficLight,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer7,RocketLeague,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer7,GearsOfWar4,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,CourtYard,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer7,PUBG_p2,M_1920x1080_bright_near,H_1920x1080_bright_near,1
observer7,RushPixar,H_1280x720_bright_near,H_3840x2160_bright_near,0
observer7,ShadowOfTheTombRaider,H_3840x2160_bright_near,M_1280x720_bright_near,1
observer7,NightStreet,H_3840x2160_bright_near,L_3840x2160_bright_near,1
observer7,SolLevante_p1,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,Bonfire,H_3840x2160_bright_near,M_1280x720_bright_near,1
observer7,ShadowOfTheTombRaider,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer7,NightStreet,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer7,SolLevante_p2,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer7,SolLevante_p1,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer7,PorscheCloseUp,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer7,Showgirl01,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer7,TrafficLight,M_3840x2160_bright_near,L_1280x720_bright_near,1
observer23,GearsOfWar4,M_3840x2160_bright_near,L_1280x720_bright_near,1
observer23,TrafficLight,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer23,NightStreet,H_1280x720_bright_near,M_1280x720_bright_near,1
observer23,PorscheCloseUp,H_1920x1080_bright_near,L_1920x1080_bright_near,1
observer23,PUBG_p2,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer23,Bonfire,M_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,CourtYard,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer23,SolLevante_p1,M_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,Showgirl01,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer23,Bonfire,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer23,NightStreet,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer23,GearsOfWar4,L_3840x2160_bright_near,H_1920x1080_bright_near,0
observer23,TrafficLight,L_3840x2160_bright_near,H_1920x1080_bright_near,1
observer23,TrafficLight,H_3840x2160_bright_near,H_1920x1080_bright_near,0
observer23,Bistro,H_1920x1080_bright_near,H_1280x720_bright_near,0
observer23,RushPixar,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer23,RushPixar,M_1280x720_bright_near,L_1280x720_bright_near,1
observer23,SolLevante_p1,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer23,CourtYard,H_3840x2160_bright_near,M_1920x1080_bright_near,0
observer23,NightStreet,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer23,FishingCloseshot,M_1920x1080_bright_near,L_1280x720_bright_near,1
observer23,RocketLeague,M_3840x2160_bright_near,H_1280x720_bright_near,1
observer23,PUBG_p2,M_3840x2160_bright_near,L_1280x720_bright_near,1
observer23,PorscheCloseUp,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,NightStreet,M_3840x2160_bright_near,H_1280x720_bright_near,1
observer23,ShadowOfTheTombRaider,M_1920x1080_bright_near,L_1280x720_bright_near,1
observer23,RushPixar,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer23,Showgirl01,H_1280x720_bright_near,M_1280x720_bright_near,1
observer23,Bonfire,H_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,TrafficLight,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer23,PorscheCloseUp,M_3840x2160_bright_near,L_3840x2160_bright_near,0
observer23,Bonfire,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer23,PUBG_p2,M_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,PorscheCloseUp,L_3840x2160_bright_near,M_1920x1080_bright_near,0
observer23,ShadowOfTheTombRaider,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer23,PUBG_p2,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer23,SolLevante_p1,H_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,GearsOfWar4,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,Showgirl01,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer23,RocketLeague,M_3840x2160_bright_near,L_1920x1080_bright_near,1
observer23,RocketLeague,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer23,GearsOfWar4,L_3840x2160_bright_near,M_1920x1080_bright_near,1
observer23,PUBG_p2,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer23,CourtYard,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer23,ShadowOfTheTombRaider,H_3840x2160_bright_near,H_1920x1080_bright_near,0
observer23,SolLevante_p1,H_1920x1080_bright_near,L_1920x1080_bright_near,1
observer23,TrafficLight,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer23,SmithHammering,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer23,GearsOfWar4,M_3840x2160_bright_near,L_3840x2160_bright_near,0
observer23,NightStreet,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer23,CourtYard,H_3840x2160_bright_near,M_1280x720_bright_near,1
observer7,ShadowOfTheTombRaider,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,ShadowOfTheTombRaider,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer7,Bonfire,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer7,Bonfire,L_3840x2160_bright_near,H_1920x1080_bright_near,0
observer7,RocketLeague,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer7,PUBG_p2,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer7,Showgirl01,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer7,Bonfire,L_3840x2160_bright_near,M_1920x1080_bright_near,0
observer7,RocketLeague,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer7,SolLevante_p2,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer7,FishingCloseshot,H_1280x720_bright_near,M_1280x720_bright_near,1
observer7,Bonfire,L_3840x2160_bright_near,M_1280x720_bright_near,0
observer7,SolLevante_p2,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer7,ShadowOfTheTombRaider,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer7,RocketLeague,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer7,Bonfire,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer7,ShadowOfTheTombRaider,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer7,TrafficLight,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer7,FishingCloseshot,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer7,RocketLeague,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer7,SmithHammering,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer7,Bonfire,L_3840x2160_bright_near,L_1280x720_bright_near,1
observer7,PUBG_p2,H_1280x720_bright_near,M_1280x720_bright_near,1
observer7,Bistro,H_1280x720_bright_near,L_1280x720_bright_near,1
observer7,ShadowOfTheTombRaider,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer7,RushPixar,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer7,Bistro,H_1920x1080_bright_near,L_1280x720_bright_near,1
observer7,FishingCloseshot,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer7,SolLevante_p2,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer7,Bonfire,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer7,RushPixar,L_3840x2160_bright_near,L_1280x720_bright_near,1
observer7,Bistro,M_1920x1080_bright_near,L_1280x720_bright_near,1
observer7,RushPixar,L_3840x2160_bright_near,M_1920x1080_bright_near,0
observer7,SmithHammering,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer7,RocketLeague,H_1920x1080_bright_near,L_1920x1080_bright_near,1
observer7,PUBG_p2,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer14,PorscheCloseUp,M_1280x720_bright_near,L_1280x720_bright_near,0
observer14,PorscheCloseUp,L_1920x1080_bright_near,M_1280x720_bright_near,1
observer14,SolLevante_p2,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer14,SmithHammering,M_1280x720_bright_near,L_1280x720_bright_near,1
observer14,NightStreet,L_3840x2160_bright_near,M_1280x720_bright_near,1
observer14,RushPixar,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer14,SolLevante_p1,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer14,GearsOfWar4,M_1280x720_bright_near,L_1280x720_bright_near,0
observer14,NightStreet,L_3840x2160_bright_near,H_1920x1080_bright_near,0
observer14,Showgirl01,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer14,PUBG_p2,H_3840x2160_bright_near,H_1920x1080_bright_near,0
observer14,RushPixar,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer14,GearsOfWar4,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer14,GearsOfWar4,H_1280x720_bright_near,M_1280x720_bright_near,1
observer14,RushPixar,H_3840x2160_bright_near,H_1920x1080_bright_near,0
observer14,PUBG_p2,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer14,GearsOfWar4,M_3840x2160_bright_near,H_1280x720_bright_near,0
observer14,SmithHammering,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer14,ShadowOfTheTombRaider,H_1280x720_bright_near,M_1280x720_bright_near,1
observer14,Bonfire,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer14,SolLevante_p2,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer14,ShadowOfTheTombRaider,M_1920x1080_bright_near,M_1280x720_bright_near,0
observer14,SolLevante_p2,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer14,SmithHammering,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer14,NightStreet,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer14,Bonfire,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer14,RushPixar,M_1920x1080_bright_near,M_1280x720_bright_near,0
observer14,GearsOfWar4,L_1920x1080_bright_near,H_1280x720_bright_near,1
observer14,Bistro,L_1920x1080_bright_near,L_1280x720_bright_near,0
observer14,ShadowOfTheTombRaider,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer14,GearsOfWar4,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer14,FishingCloseshot,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer14,SolLevante_p1,M_1280x720_bright_near,L_1280x720_bright_near,1
observer14,GearsOfWar4,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer14,SolLevante_p1,M_1920x1080_bright_near,L_1280x720_bright_near,1
observer14,NightStreet,L_3840x2160_bright_near,L_1280x720_bright_near,1
observer14,NightStreet,L_3840x2160_bright_near,M_1920x1080_bright_near,1
observer14,Showgirl01,M_1280x720_bright_near,L_1280x720_bright_near,0
observer14,ShadowOfTheTombRaider,L_3840x2160_bright_near,M_1280x720_bright_near,1
observer14,SolLevante_p2,H_3840x2160_bright_near,M_3840x2160_bright_near,0
observer14,GearsOfWar4,H_3840x2160_bright_near,L_3840x2160_bright_near,1
observer14,NightStreet,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer14,ShadowOfTheTombRaider,M_3840x2160_bright_near,M_1280x720_bright_near,0
observer14,ShadowOfTheTombRaider,M_1280x720_bright_near,L_1280x720_bright_near,0
observer14,RushPixar,L_1920x1080_bright_near,M_1280x720_bright_near,1
observer14,RushPixar,H_1280x720_bright_near,M_1280x720_bright_near,1
observer14,Bistro,H_1280x720_bright_near,M_1280x720_bright_near,1
observer14,RushPixar,L_3840x2160_bright_near,M_1280x720_bright_near,1
observer14,SolLevante_p2,H_1280x720_bright_near,M_1280x720_bright_near,1
observer21,CourtYard,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer21,RocketLeague,M_1280x720_bright_near,L_1280x720_bright_near,1
observer21,RocketLeague,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer21,SolLevante_p2,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer21,TrafficLight,H_3840x2160_bright_near,L_3840x2160_bright_near,0
observer21,CourtYard,L_1920x1080_bright_near,H_1280x720_bright_near,1
observer21,RushPixar,M_1920x1080_bright_near,L_1280x720_bright_near,1
observer21,RocketLeague,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer21,RushPixar,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer21,SolLevante_p2,L_3840x2160_bright_near,M_1920x1080_bright_near,0
observer21,TrafficLight,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer21,GearsOfWar4,H_1920x1080_bright_near,L_1920x1080_bright_near,1
observer21,NightStreet,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer21,FishingCloseshot,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer21,CourtYard,L_3840x2160_bright_near,H_1280x720_bright_near,1
observer21,PUBG_p2,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer21,SmithHammering,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer21,RushPixar,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer21,Showgirl01,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer21,FishingCloseshot,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer21,RocketLeague,H_1280x720_bright_near,M_1280x720_bright_near,1
observer21,Showgirl01,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer21,ShadowOfTheTombRaider,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer21,CourtYard,H_1280x720_bright_near,L_1280x720_bright_near,1
observer21,TrafficLight,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer21,PorscheCloseUp,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer21,Bonfire,H_1280x720_bright_near,M_1280x720_bright_near,1
observer21,ShadowOfTheTombRaider,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer21,ShadowOfTheTombRaider,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer21,ShadowOfTheTombRaider,M_3840x2160_bright_near,L_1920x1080_bright_near,1
observer21,CourtYard,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer21,TrafficLight,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer21,ShadowOfTheTombRaider,M_3840x2160_bright_near,L_1280x720_bright_near,1
observer21,RocketLeague,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer21,PorscheCloseUp,H_3840x2160_bright_near,M_3840x2160_bright_near,0
observer21,CourtYard,M_3840x2160_bright_near,H_1920x1080_bright_near,1
observer21,FishingCloseshot,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer21,TrafficLight,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer21,GearsOfWar4,H_3840x2160_bright_near,L_1920x1080_bright_near,1
observer21,CourtYard,H_1280x720_bright_near,M_1280x720_bright_near,0
observer21,SolLevante_p2,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer21,TrafficLight,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer21,Bonfire,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer21,Bonfire,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer21,RushPixar,M_3840x2160_bright_near,H_1280x720_bright_near,0
observer21,Showgirl01,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer21,Bistro,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer21,Bistro,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer21,PorscheCloseUp,M_3840x2160_bright_near,H_1280x720_bright_near,1
observer13,FishingCloseshot,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer13,Showgirl01,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer13,PUBG_p2,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer13,TrafficLight,H_1280x720_bright_near,L_1280x720_bright_near,1
observer13,NightStreet,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer13,Showgirl01,H_1280x720_bright_near,L_1280x720_bright_near,1
observer13,CourtYard,L_3840x2160_bright_near,M_1280x720_bright_near,1
observer13,ShadowOfTheTombRaider,H_3840x2160_bright_near,H_1920x1080_bright_near,0
observer13,PUBG_p2,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer13,FishingCloseshot,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer13,PorscheCloseUp,H_3840x2160_bright_near,L_1920x1080_bright_near,1
observer13,SolLevante_p1,M_3840x2160_bright_near,H_1280x720_bright_near,1
observer13,NightStreet,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer13,TrafficLight,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer13,PorscheCloseUp,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer13,TrafficLight,M_3840x2160_bright_near,H_1280x720_bright_near,0
observer13,Bonfire,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer13,CourtYard,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer13,CourtYard,H_3840x2160_bright_near,M_3840x2160_bright_near,0
observer13,PorscheCloseUp,L_3840x2160_bright_near,H_1280x720_bright_near,1
observer13,SolLevante_p1,L_3840x2160_bright_near,M_1280x720_bright_near,0
observer13,RocketLeague,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer13,CourtYard,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer13,SolLevante_p2,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer13,NightStreet,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer13,Bistro,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer13,SolLevante_p1,H_1920x1080_bright_near,H_1280x720_bright_near,0
observer13,NightStreet,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer13,CourtYard,M_1280x720_bright_near,L_1280x720_bright_near,1
observer13,SolLevante_p2,L_3840x2160_bright_near,M_1280x720_bright_near,0
observer13,NightStreet,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer13,Bonfire,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer13,TrafficLight,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer13,Bistro,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer13,RocketLeague,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer13,SmithHammering,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer13,RocketLeague,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer13,SmithHammering,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer13,Bistro,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer13,SolLevante_p1,H_3840x2160_bright_near,M_3840x2160_bright_near,0
observer13,PorscheCloseUp,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer13,Showgirl01,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer13,RocketLeague,L_3840x2160_bright_near,M_1280x720_bright_near,1
observer13,GearsOfWar4,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer13,PorscheCloseUp,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer13,PorscheCloseUp,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer13,RushPixar,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer13,SolLevante_p2,M_3840x2160_bright_near,H_1920x1080_bright_near,1
observer13,NightStreet,M_1280x720_bright_near,L_1280x720_bright_near,1
observer13,FishingCloseshot,M_1280x720_bright_near,L_1280x720_bright_near,1
observer13,Bistro,M_1280x720_bright_near,L_1280x720_bright_near,1
observer13,SmithHammering,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer13,CourtYard,L_1920x1080_bright_near,M_1280x720_bright_near,1
observer10,PUBG_p2,M_1280x720_bright_near,L_1280x720_bright_near,1
observer10,SolLevante_p2,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer10,Showgirl01,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer10,Showgirl01,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer10,TrafficLight,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer10,Showgirl01,H_1920x1080_bright_near,M_1920x1080_bright_near,0
observer10,TrafficLight,H_1280x720_bright_near,M_1280x720_bright_near,1
observer10,CourtYard,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer10,Bonfire,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer10,ShadowOfTheTombRaider,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer10,SolLevante_p1,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer10,Showgirl01,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer10,GearsOfWar4,M_3840x2160_bright_near,M_1920x1080_bright_near,0
observer10,Showgirl01,M_1280x720_bright_near,L_1280x720_bright_near,1
observer10,SolLevante_p1,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer10,SolLevante_p1,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer10,TrafficLight,L_3840x2160_bright_near,H_1920x1080_bright_near,0
observer10,RushPixar,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer10,PUBG_p2,L_3840x2160_bright_near,M_1280x720_bright_near,0
observer10,FishingCloseshot,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer10,TrafficLight,M_3840x2160_bright_near,M_1280x720_bright_near,1
observer10,GearsOfWar4,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer10,CourtYard,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer10,Bonfire,M_3840x2160_bright_near,H_1920x1080_bright_near,0
observer10,GearsOfWar4,H_3840x2160_bright_near,M_1920x1080_bright_near,0
observer10,SolLevante_p1,L_3840x2160_bright_near,H_1920x1080_bright_near,0
observer10,PorscheCloseUp,H_3840x2160_bright_near,L_3840x2160_bright_near,0
observer10,SolLevante_p2,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer10,ShadowOfTheTombRaider,M_3840x2160_bright_near,H_1280x720_bright_near,0
observer10,Bistro,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer10,PUBG_p2,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer10,NightStreet,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer10,SolLevante_p2,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer10,Bonfire,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer10,TrafficLight,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer10,NightStreet,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer10,Bonfire,M_3840x2160_bright_near,H_1280x720_bright_near,0
observer10,PUBG_p2,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer10,GearsOfWar4,H_1920x1080_bright_near,M_1920x1080_bright_near,0
observer10,SolLevante_p1,H_1920x1080_bright_near,M_1280x720_bright_near,1
observer10,SolLevante_p1,H_1920x1080_bright_near,M_1920x1080_bright_near,0
observer10,PUBG_p2,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer10,CourtYard,L_3840x2160_bright_near,M_1920x1080_bright_near,0
observer10,GearsOfWar4,M_1280x720_bright_near,L_1280x720_bright_near,1
observer10,PUBG_p2,H_1920x1080_bright_near,H_1280x720_bright_near,0
observer10,TrafficLight,L_1920x1080_bright_near,M_1280x720_bright_near,1
observer10,SolLevante_p2,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer10,RocketLeague,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer10,GearsOfWar4,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer10,SolLevante_p1,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer10,RushPixar,H_3840x2160_bright_near,M_1920x1080_bright_near,0
observer10,TrafficLight,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer10,CourtYard,H_1920x1080_bright_near,L_1920x1080_bright_near,1
observer28,GearsOfWar4,L_1920x1080_bright_near,M_1280x720_bright_near,1
observer28,ShadowOfTheTombRaider,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer28,ShadowOfTheTombRaider,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer28,ShadowOfTheTombRaider,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer28,Bistro,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer28,GearsOfWar4,M_3840x2160_bright_near,L_1920x1080_bright_near,1
observer28,Bonfire,M_3840x2160_bright_near,H_1920x1080_bright_near,1
observer28,Showgirl01,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer28,SolLevante_p1,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer28,RocketLeague,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer28,PUBG_p2,M_1920x1080_bright_near,H_1280x720_bright_near,1
observer28,SolLevante_p2,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer28,RocketLeague,L_1920x1080_bright_near,H_1280x720_bright_near,0
observer28,SolLevante_p1,H_3840x2160_bright_near,M_3840x2160_bright_near,0
observer28,PorscheCloseUp,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer28,TrafficLight,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer28,RocketLeague,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer28,SolLevante_p2,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer28,SmithHammering,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer28,SolLevante_p1,L_3840x2160_bright_near,H_1280x720_bright_near,1
observer28,SolLevante_p1,H_1280x720_bright_near,M_1280x720_bright_near,1
observer28,CourtYard,M_1280x720_bright_near,L_1280x720_bright_near,1
observer28,FishingCloseshot,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer28,RushPixar,H_3840x2160_bright_near,M_1280x720_bright_near,1
observer28,TrafficLight,M_3840x2160_bright_near,L_1920x1080_bright_near,1
observer28,CourtYard,H_1280x720_bright_near,L_1280x720_bright_near,1
observer28,Bonfire,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer28,PUBG_p2,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer28,ShadowOfTheTombRaider,L_3840x2160_bright_near,L_1920x1080_bright_near,1
