scene,condition,jod,jod_low,jod_high
Bistro,H_1280x720_bright_far,9.68896050937406,9.09318054863415,10.5447147908728
Bistro,H_1280x720_bright_near,8.74234115351313,8.26442042864045,9.44364236001248
Bistro,L_1280x720_bright_far,5.38791317822475,4.49012224464828,5.87552588251149
Bistro,L_1280x720_bright_near,4.38600058855621,3.10893657541913,5.07264030034435
Bistro,L_1920x1080_bright_far,6.30790171944783,5.88856226553951,6.61923696167258
Bistro,L_1920x1080_bright_near,5.64436081699918,4.8397567671515,6.21203699017135
Bistro,M_1280x720_bright_far,7.70766704298501,7.39375440418904,8.07666133121379
Bistro,M_1280x720_bright_near,6.90352663320151,6.6568414961595,7.15665233469764
Bistro,M_1920x1080_bright_far,8.56814167254749,8.23018292831393,9.14470976332285
Bistro,M_1920x1080_bright_near,7.73453555607166,7.35786077022769,8.18810451720009
Bistro,H_1920x1080_bright_near,10.0,9.4773747183411,10.8346223593254
Bistro,H_1920x1080_bright_far,10.0,9.4773747183411,10.8346223593254
Bonfire,H_1280x720_bright_far,10.2350667781503,9.64963258955644,10.9473496012065
Bonfire,H_1280x720_bright_near,9.28192293346956,8.86636547521318,9.73532759646874
Bonfire,H_1920x1080_bright_far,10.1122653934505,9.58923216786306,10.7504070635476
Bonfire,H_1920x1080_bright_near,9.37507131743942,8.84063905167446,9.91811015623479
Bonfire,L_1280x720_bright_far,4.97153836555516,4.07983021865429,5.71970832632027
Bonfire,L_1280x720_bright_near,4.20513752902057,2.76171489005048,5.2147412389575
Bonfire,L_1920x1080_bright_far,6.37693838903313,5.87597250504383,6.71105413912902
Bonfire,L_1920x1080_bright_near,5.3147979620292,4.45813359568539,5.93128259574371
Bonfire,L_3840x2160_bright_far,7.51525255316512,7.18335269515699,7.83257307169731
Bonfire,L_3840x2160_bright_near,6.61679028713182,6.13023758449338,7.05542541349618
Bonfire,M_1280x720_bright_far,8.68417607728272,8.32597884341451,9.08911102697416
Bonfire,M_1280x720_bright_near,7.02270039522582,6.71401421991247,7.3335185657778
Bonfire,M_1920x1080_bright_far,9.04020805640092,8.6580281493817,9.4568940521289
Bonfire,M_1920x1080_bright_near,7.67714683659106,7.40739681576801,7.98312543163722
Bonfire,M_3840x2160_bright_far,9.4269742901429,8.91286397690333,10.0387807851085
Bonfire,M_3840x2160_bright_near,8.74276476997055,8.38279562358485,9.19799854585665
Bonfire,H_3840x2160_bright_near,10.0,9.51318021306773,10.6362924991504
Bonfire,H_3840x2160_bright_far,10.0,9.51318021306773,10.6362924991504
CourtYard,H_1280x720_bright_far,9.20592152393512,8.74422230977142,9.68998807424444
CourtYard,H_1280x720_bright_near,7.3970053597073,6.88976195132202,7.79213341024548
CourtYard,H_1920x1080_bright_far,9.69694285444263,9.25707604904921,10.1851865892458
CourtYard,H_1920x1080_bright_near,9.23092563184092,8.89431413142847,9.64755005664522
